Method,,,,,,,,,,
0x00000000,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer From,,,,,,,,,,
Deposit,,,,,,,,,,
Withdraw,,,,,,,,,,
Set Sale Price,,,,,,,,,,
Early Withdraw,,,,,,,,,,
Sell Token For Eth To Uniswap V3,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Prove Withdrawal Transaction,,,,,,,,,,
Meta Route,,,,,,,,,,
Deposit To,,,,,,,,,,
Transfer,,,,,,,,,,
Set Approval For All,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x9871efa4,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
Take Ask Single,,,,,,,,,,
Execute,,,,,,,,,,
0xab85a08a,,,,,,,,,,
Execute,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
0x415565b0,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
Multicall,,,,,,,,,,
Execute,,,,,,,,,,
0x00000011,,,,,,,,,,
0x2a407667,,,,,,,,,,
Multicall,,,,,,,,,,
0x1c4cb529,,,,,,,,,,
To PMM,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
Claim,,,,,,,,,,
0x988a81d9,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
0x041be05e,,,,,,,,,,
Execute,,,,,,,,,,
0x7c3b0704,,,,,,,,,,
Transfer,,,,,,,,,,
Swap Exact ETH For Tokens,,,,,,,,,,
Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,,,,,,,,,,
Approve,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
0x0162e2d0,,,,,,,,,,
0x859b7571,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
Execute F Fs Yo,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x0fb21452,,,,,,,,,,
Send Multi Sig Token,,,,,,,,,,
Withdraw,,,,,,,,,,
Swap Exact ETH For Tokens,,,,,,,,,,
Deposit,,,,,,,,,,
0xc18a84bc,,,,,,,,,,
Smart Swap By Order Id,,,,,,,,,,
Deposit ETH,,,,,,,,,,
Transfer,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
0x1c8ef6c6,,,,,,,,,,
0x18c647ab,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
0x859b7571,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Sigma Buy,,,,,,,,,,
0x7f3b2ec6,,,,,,,,,,
Swap Exact ETH For Tokens,,,,,,,,,,
0x091b921b,,,,,,,,,,
0x0162e2d0,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
Transfer,,,,,,,,,,
Add Sequencer L2Batch From Blobs,,,,,,,,,,
Propose Block,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer Out,,,,,,,,,,
Register,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Verify And Process Withdrawals,,,,,,,,,,
Transfer,,,,,,,,,,
Request Withdraw With Permit,,,,,,,,,,
0x68cdab9c,,,,,,,,,,
Approve,,,,,,,,,,
Transfer*,,,,,,,,,,
Swap,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Verify Batches Trusted Aggregator,,,,,,,,,,
Deposit Kitties And Mint Tokens,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Deposit,,,,,,,,,,
Claim,,,,,,,,,,
Claim,,,,,,,,,,
Execute,,,,,,,,,,
Update Indicators,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Approve,,,,,,,,,,
Bridge,,,,,,,,,,
Create Proxy With Nonce,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Set Approval For All,,,,,,,,,,
Execute,,,,,,,,,,
Create Forwarder,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Get Reward,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Update Indicators,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Execute,,,,,,,,,,
0x9871efa4,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Transmit,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
0x05f497df,,,,,,,,,,
Transfer,,,,,,,,,,
0x1c4cb529,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Swap,,,,,,,,,,
0x8e7ba57c,,,,,,,,,,
0x68cdab9c,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Receive Message,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
0x5809d496,,,,,,,,,,
Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,,,,,,,,,,
Propose Block,,,,,,,,,,
Borrow,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
0xde05e6a0,,,,,,,,,,
Sigma Buy,,,,,,,,,,
Transfer,,,,,,,,,,
0xbee21271,,,,,,,,,,
Swap Compact,,,,,,,,,,
0x5786c0f7,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
0xa0000000,,,,,,,,,,
Opt In,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Withdraw ETH,,,,,,,,,,
Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens,,,,,,,,,,
Unoswap,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Swap,,,,,,,,,,
Swap Exact ETH For Tokens,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Swap And Start Bridge Tokens Via All Bridge,,,,,,,,,,
Transfer,,,,,,,,,,
Request Withdrawals With Permit,,,,,,,,,,
Transfer,,,,,,,,,,
Request Withdrawals With Permit,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x4e5b626e,,,,,,,,,,
0x000000c5,,,,,,,,,,
Purchase Batch,,,,,,,,,,
Transfer,,,,,,,,,,
0x00000099,,,,,,,,,,
0xa0000000,,,,,,,,,,
Deposit,,,,,,,,,,
Send Multi Sig,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Approve,,,,,,,,,,
Propose L2Output,,,,,,,,,,
0x0d5f0e3b,,,,,,,,,,
0x4e5b626e,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,,,,,,,,,,
Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens,,,,,,,,,,
Approve,,,,,,,,,,
0x079073d1,,,,,,,,,,
Execute,,,,,,,,,,
0x013885fb,,,,,,,,,,
0x1d0a9fdf,,,,,,,,,,
0x72dbe57d,,,,,,,,,,
0xaa9beceb,,,,,,,,,,
0x771d503f,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x415565b0,,,,,,,,,,
Approve,,,,,,,,,,
Lz Receive,,,,,,,,,,
Lz Receive,,,,,,,,,,
Commit Verification,,,,,,,,,,
0x4bbdb68f,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Deposit Transaction,,,,,,,,,,
Stake,,,,,,,,,,
Claim,,,,,,,,,,
Match Token Order By Admin_k44j,,,,,,,,,,
Release From Claim Contracts,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Strictly Swap And Call,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Safe Execute Signatures With Auto Gas Limit,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Commit Blob,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Swap,,,,,,,,,,
Swap,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer*,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Safe Transfer From,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Withdraw,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Claim,,,,,,,,,,
Ready To Ape,,,,,,,,,,
Claim,,,,,,,,,,
Delegate To,,,,,,,,,,
Transfer,,,,,,,,,,
Claim Withdraw,,,,,,,,,,
Claim,,,,,,,,,,
Claim Withdraw,,,,,,,,,,
Withdraw BAKC,,,,,,,,,,
Mint With Signature,,,,,,,,,,
Deposit,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Register,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
0x68cdab9c,,,,,,,,,,
Swap,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Execute,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Deposit,,,,,,,,,,
Execute,,,,,,,,,,
Execute,,,,,,,,,,
Bridge,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Mix Swap,,,,,,,,,,
Swap Exact Token For Yt,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Stake,,,,,,,,,,
0x9871efa4,,,,,,,,,,
Approve,,,,,,,,,,
Transfer From,,,,,,,,,,
Multicall,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Transfer,,,,,,,,,,
Swap,,,,,,,,,,
Transfer,,,,,,,,,,
Send Multi Sig,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transmit,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Refinance Auction,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Burn,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Propose Block,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Unoswap To,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Swap,,,,,,,,,,
Redeem Sy To Token,,,,,,,,,,
0x146ee74d,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Withdraw,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
Approve,,,,,,,,,,
0x80000000,,,,,,,,,,
Unoswap,,,,,,,,,,
Transfer,,,,,,,,,,
Transfer,,,,,,,,,,
Deposit,,,,,,,,,,
0x771d503f,,,,,,,,,,
Ready To Ape,,,,,,,,,,
